itemNumber	string	score	depth	hierarchy
75603799	demografie	7	1	demografie
75614901	meetkunde	7	2	wiskunde
75607204	geneeskunde	7	1	geneeskunde
75661063	management ; gezondheidszorg	7	2	management
75612461	kosmologie	7	1	kosmologie
153186607	malaria	7	3	ziekteleer
88227227	kennissystemen	7	2	kunstmatige intelligentie
75684349	ziekte van hodgkin	7	3	ziekteleer
75623218	strafprocesrecht	7	3	recht
75669854	medisch onderwijs	7	2	onderwijs
84826533	vogelkunde	7	3	biologie
07562351x	systeemtheorie	7	1	systeemtheorie
75599171	anorganische chemie	7	2	chemie
238924262	glaucoom	7	3	ziekteleer
75599910	autisme	7	3	psychiatrie
75610310	intern transport	7	1	intern transport
75610388	internationale economie	7	2	economie
07567923x	mathematische psychologie	7	3	sociale wetenschappen
75618818	plastische chirurgie	7	3	geneeskunde
75622874	statistiek	7	1	statistiek
75611201	kankerbestrijding	7	2	geneeskunde
174882149	prenatale diagnostiek	7	3	geneeskunde
75600390	bedrijfsgeneeskunde	7	2	geneeskunde
75606852	geestelijke gezondheidszorg	7	2	gezondheidszorg
263313506	voorraadbeheer	7	2	logistiek
75610353	internationaal recht	7	2	recht
75657287	bedrijfsvestiging	7	3	geografie
75659344	geneeskunde ; opleiding	7	2	geneeskunde
75665506	wiskundige logica	7	2	logica
75659964	industriële innovatie	7	2	innovatie
75622882	stedenbouw	7	4	ruimtelijke ordening
37834823x	oncologische chirurgie	7	3	geneeskunde
100450830	russische federatie	7	1	russische federatie
75623498	syntaxis	7	2	taalwetenschap
75604825	economische politiek	7	2	politiek
75601478	bloedtransfusie	7	1	bloedtransfusie
314342192	sekseverschillen	7	2	sociale wetenschappen
75625288	veeteelt	7	4	economie
75601524	bloementeelt	7	5	economie
98141651	tribologie	7	2	werktuigbouwkunde
75615118	meteorologie	7	1	meteorologie
75657473	bevolkingsonderzoek	7	2	gezondheidszorg
07567856x	theoretische natuurkunde	7	2	natuurkunde
75658089	chemische fysica	7	2	natuurkunde
75609525	huisartsen	7	2	geneeskundigen
75680041	revalidatiegeneeskunde	7	2	geneeskunde
291506313	geslachtshormonen	7	2	hormonen
75612895	kwaliteitsmanagement	7	2	management
75658887	energie-economie	7	2	economie
75651645	agressie	7	4	sociale wetenschappen
75626683	vuilverwerking	7	3	economie
75664607	variatierekening	7	2	wiskunde
